abbreviation,definition,comment,source,is_prepositive
§,параграф,Умовна позначка при цифрах,dstu,1
%,відсоток (процент),Умовна позначка при цифрах,dstu,0
AT,акціонерне товариство,,dstu,0
№,номер,Умовна позначка при цифрах,dstu,1
№ пор.,номер порядковий,Умовна позначка при цифрах,dstu,1
p.,річка,При назві,dstu,1
p.,рік,При цифрах,dstu,0
pp.,роки,При цифрах,dstu,0
X.,Харків,В області вихідних даних,dstu,0
а. с.,авторське свідоцтво,,dstu,0
авт. арк.,авторський аркуш,,dstu,0
автореф.,автореферат,,dstu,0
агр.,агрономічний,,dstu,0
аграр.,аграрний,,dstu,0
адапт.,адаптація,,dstu,0
адм.,адміністративний,,dstu,0
адмін.,адміністрація,,dstu,0
АЕС,атомна електрична станція,,dstu,0
акад.,академік,При прізвищі,dstu,1
акад.,академія,,dstu,0
акомп.,акомпанемент,,dstu,0
алф.,алфавіт,,dstu,0
альб.,альбом,,dstu,0
альм.,альманах,,dstu,0
амер.,американський,,dstu,0
аналіт.,аналітичний,,dstu,0
англ.,англійський,,dstu,0
анот.,анотація,,dstu,0
антол.,антологія,,dstu,0
АПК,агропромисловий комплекс,,dstu,0
арк.,аркуш,При цифрах і в області приміток,dstu,1
арт.,артист,При прізвищі,dstu,1
арх.,архів,,dstu,0
археол.,археологія,,dstu,0
архіт.,архітектура,,dstu,0
асист.,асистент,При прізвищі,dstu,1
асоц.,асоціація,,dstu,0
асп.,аспірант,При прізвищі,dstu,1
атл.,атлас,,dstu,0
б-ка,бібліотека,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
б-р,бульвар,При назві,dstu,1
б-чка,бібліотечка,,dstu,0
б.,будинок,При цифрах,dstu,1
б. в.,без видавництва,,dstu,0
б. д.,без даних,,dstu,0
б. м-бу,без масштабу,,dstu,0
б. м.,без місця,,dstu,0
б. р.,без року,,dstu,0
б. т.,без тиражу,,dstu,0
б. тит. арк.,без титульного аркуша,В області приміток,dstu,0
б. ц.,без ціни,,dstu,0
безкошт.,безкоштовно,,dstu,0
безпл.,безплатно,,dstu,0
берез.,березень,,dstu,0
бібл.,бібліотечний,,dstu,0
біблійн.,біблійний,,dstu,0
