Country,Capital,Region
ОАЕ,Абу-Дабі,Азія
Нігерія,Абуджа,Африка
Ефіопія,Аддис-Абеба,Африка
Гана,Аккра,Африка
Алжир,Алжир,Африка
Йорданія,Амман,Азія
Нідерланди,Амстердам,Європа
Андорра,Андорра-ла-Велья,Європа
Туреччина,Анкара,Азія
Мадагаскар,Антананаріву,Африка
Самоа,Апіа,Австралія і Океанія
Еритрея,Асмара,Африка
Казахстан,Астана,Азія
Парагвай,Асунсьйон,Південна Америка
Греція,Афіни,Європа
Туркменістан,Ашгабат,Азія
Ірак,Багдад,Азія
Азербайджан,Баку,Азія
Малі,Бамако,Африка
Центральноафриканська Республіка,Бангі,Африка
Бруней,Бандар-Сері-Бегаван,Азія
Таїланд,Бангкок,Азія
Гамбія,Банжул,Африка
Сент-Кіттс і Невіс,Бастер,Північна Америка
Ліван,Бейрут,Азія
Сербія,Белград,Європа
Беліз,Бельмопан,Північна Америка
Німеччина,Берлін,Європа
Швейцарія,Берн,Європа
Гвінея-Бісау,Бісау,Африка
Киргизстан,Бішкек,Азія
Колумбія,Богота,Південна Америка
Конго,Браззавіль,Африка
Бразилія,Бразиліа,Південна Америка
Словаччина,Братислава,Європа
Барбадос,Бриджтаун,Північна Америка
Бельгія,Брюссель,Європа
Угорщина,Будапешт,Європа
Аргентина,Буенос-Айрес,Південна Америка
Бурунді,Бужумбура,Африка
Румунія,Бухарест,Європа
Ліхтенштейн,Вадуц,Європа
Мальта,Валлетта,Європа
Польща,Варшава,Європа
Ватикан,Ватикан,Європа
США,Вашингтон,Північна Америка
Нова Зеландія,Веллінгтон,Австралія і Океанія
Лаос,В'єнтьян,Азія
Австрія,Відень,Європа
Сейшельські Острови,Вікторія,Африка
Литва,Вільнюс,Європа
Намібія,Віндгук,Африка
Ботсвана,Габороне,Африка
Куба,Гавана,Північна Америка
Гватемала,Гватемала,Північна Америка
Фінляндія,Гельсінкі,Європа
Сенегал,Дакар,Африка
Бангладеш,Дакка,Азія
