Country,Currency,CCode,DCode
Австралія,Австралійський долар,AUD,036
Австрія,Євро,EUR,978
Азербайджан,Азербайджанський манат,AZN,944
Аландські острови,Євро,EUR,978
Албанія,Лек,ALL,008
Алжир,Алжирський динар,DZD,012
Ангола,Кванза,AOA,973
Анґілья,Східнокарибський долар,XCD,951
Андорра,Євро,EUR,978
Антарктида,Не має валюти,,
Антиґуа і Барбуда,Східнокарибський долар,XCD,951
Аргентина,Аргентинське песо,ARS,032
Аруба,Арубський флорин,AWG,533
Афганістан,Афгані,AFN,971
Багами,Багамський долар,BSD,044
Бангладеш,Така,BDT,050
Барбадос,Барбадоський долар,BBD,052
Бахрейн,Бахрейнський динар,BHD,048
Беліз,Белізький долар,BZD,084
Бельґія,Євро,EUR,978
Бенін,Франк CFA-BCEAO,XOF,952
Бермудські Острови,Бермудський долар,BMD,060
Білорусь,Білоруський рубль,BYN,933
Болгарія,Болгарський лев,BGN,975
Болівія,Болівіано,BOB,068
Болівія,Мвдол,BOV,984
"Бонайре, Сінт-Естатіус і Саба",Долар США,USD,840
Боснія і Герцеґовина,Конвертовна марка,BAM,977
Ботсвана,Пула,BWP,072
Бразилія,Бразильський реал,BRL,986
Велика Британія,Фунт стерлінгів,GBP,826
Британська територія в Індійському океані,Долар США,USD,840
Бруней-Даруссалам,Брунейський долар,BND,096
Буркіна-Фасо,Франк CFA-BCEAO,XOF,952
Бурунді,Бурундійський франк,BIF,108
Бутан,Індійська рупія,INR,356
Бутан,Нґултрум,BTN,064
Вануату,Вату,VUV,548
Венесуела,Болівар,VEF,937
В'єтнам,Донг,VND,704
Вірґінські Острови (Британські),Долар США,USD,840
Вірґінські Острови (США),Долар США,USD,840
Вірменія,Вірменський драм,AMD,051
Габон,Франк CFA-BEAC,XAF,950
Гаїті,Ґурд,HTG,332
Гаїті,Долар США,USD,840
Гаяна,Гаянський долар,GYD,328
Гамбія,Даласі,GMD,270
Гана,Ганський седі,GHS,936
Гвінея-Бісау,Франк CFA-BCEAO,XOF,952
Гвінея,Гвінейський франк,GNF,324
Гондурас,Лемпіра,HNL,340
Гонконг,Гонконгівський долар,HKD,344
Греція,Євро,EUR,978
Грузія,Ларі,GEL,981
Ґваделупа,Євро,EUR,978
Ґватемала,Кетсаль,GTQ,320
Ґернсі,Фунт стерлінгів,GBP,826
Ґібралтар,Ґібралтарський фунт,GIP,292
Ґренада,Східнокарибський долар,XCD,951
Ґренландія,Данська крона,DKK,208
Ґуам,Долар США,USD,840
Данія,Данська крона,DKK,208
Джерсі,Фунт стерлінгів,GBP,826
Джібуті,Джибутійський франк,DJF,262
Домініка,Східнокарибський долар,XCD,951
Домініканська Республіка,Домініканське песо,DOP,214
Еквадор,Долар США,USD,840
Екваторіальна Гвінея,Франк CFA-BEAC,XAF,950
Еритрея,Накфа,ERN,232
Естонія,Євро,EUR,978
Ефіопія,Ефіопський бир,ETB,230
Європейський Союз,Євро,EUR,978
Єгипет,Єгипетський фунт,EGP,818
Єдина система регіональних взаєморозрахунків,Сукре,XSU,994
Ємен,Єменський ріал,YER,886
Замбія,Замбійська квача,ZMW,967
Західна Сахара,Марокканський дирхам,MAD,504
Зімбабве,Зімбабвійський долар,ZWL,932
Ізраїль,Новий ізраїльський шекель,ILS,376
Індія,Індійська рупія,INR,356
Індонезія,Рупія,IDR,360
Ірак,Іракський динар,IQD,368
"Іран, Ісламська Республіка",Іранський ріал,IRR,364
Ірландія,Євро,EUR,978
Ісландія,Ісландська крона,ISK,352
Іспанія,Євро,EUR,978
Італія,Євро,EUR,978
Йорданія,Йорданський динар,JOD,400
Кабо-Верде,Ескудо Кабо-Верде,CVE,132
Казахстан,Теньґе,KZT,398
Кайманові Острови,Долар Кайманових островів,KYD,136
Камбоджа,Ріел,KHR,116
Камерун,Франк CFA-BEAC,XAF,950
Канада,Канадський долар,CAD,124
Катар,Катарський ріал,QAR,634
