Maker,Model
Steyr,King
ЗИЛ,130
ЗИЛ,131
ЗИЛ,133
ЗИЛ,137
ЗИЛ,138
ЗИЛ,157
ЗИЛ,159
ЗИЛ,164
ЗИЛ,4131
ЗИЛ,4314
ЗИЛ,431410
ЗИЛ,431412
ЗИЛ,4316
ЗИЛ,431610
ЗИЛ,431810
ЗИЛ,4331
ЗИЛ,433102
ЗИЛ,4333
ЗИЛ,43336
ЗИЛ,4415
ЗИЛ,4421
ЗИЛ,4502
ЗИЛ,45021
ЗИЛ,4505
ЗИЛ,45085
ЗИЛ,4948
ЗИЛ,5301 (Бычок)
ЗИЛ,5343
ЗИЛ,555
ЗИЛ,ЗИЛ
ЗИЛ,ММЗ 4502
ЗИЛ,ММЗ 4505
ЗИЛ,ММЗ 554
ЗИЛ,ММЗ 555
Dodge,AS Serisi
Dodge,Sprinter груз.
Daf,200
Daf,3300
Daf,400 груз.
Daf,45
Daf,55
Daf,65
Daf,75
Daf,85
Daf,95
Daf,AE
Daf,ATI
Daf,CF
Daf,F2800
Daf,FA
Daf,FT
Daf,FX
Daf,LDV Convoy
Daf,Leyland
Daf,LF
Daf,TE
Daf,XF
Robur,LD груз.
Robur,LO груз.
Groz,BAW  1044
Groz,BAW  1065
Ashok Leyland,9016
Astra,HD8 series
Fiat,Doblo груз.
Fiat,Ducato груз.
Fiat,Fiorino груз.
Fiat,Scudo груз.
Baw,BJ
Baw,Fenix
САЗ,3307
САЗ,3503
САЗ,3507
САЗ,3508
САЗ,4509
Volvo,660
Volvo,A
Volvo,F
Volvo,FE
Volvo,FH
Volvo,FL
Volvo,FLC
Volvo,FM
Volvo,VNL
Volvo,WG
КамАЗ,3532
КамАЗ,35410
КамАЗ,4308
КамАЗ,4310
КамАЗ,43101
КамАЗ,43105
КамАЗ,43114
КамАЗ,43118
КамАЗ,4325
КамАЗ,43253
КамАЗ,4425
КамАЗ,45142
КамАЗ,45143
КамАЗ,45144
КамАЗ,4528
КамАЗ,51102
КамАЗ,5230
КамАЗ,5310
КамАЗ,53102
КамАЗ,5311
КамАЗ,5320
КамАЗ,53202
КамАЗ,53208
КамАЗ,53211
КамАЗ,53212
КамАЗ,53213
КамАЗ,53215
КамАЗ,53215
КамАЗ,53228
КамАЗ,53229
КамАЗ,5325
КамАЗ,5410
КамАЗ,54112
КамАЗ,54115
КамАЗ,5420
КамАЗ,5460
КамАЗ,5490
КамАЗ,5510
КамАЗ,55102
КамАЗ,5511
КамАЗ,55111
КамАЗ,65115
КамАЗ,65116
КамАЗ,65117
КамАЗ,6520
КамАЗ,65201
КамАЗ,6522
КамАЗ,65221
КамАЗ,65222
КамАЗ,КамАЗ
JAC,HFC
JAC,HFC 1020K
JAC,HFC 1020KR
JAC,HFC 1040K
JAC,HFC 1045K
МЗКТ,65151
МАЗ-МАН,19.403
МАЗ-МАН,540546
УАЗ,2206 груз.
УАЗ,3303
УАЗ,33036
УАЗ,451 груз.
УАЗ,452 груз.
УАЗ,452 Д
УАЗ,459
Chevrolet,Astro груз.
Chevrolet,Express груз.
Chevrolet,P30
International,7600
International,9200
International,9400
International,9600
International,9700
International,9800
International,9900
International,F
AMCO-VEBA,806
Freightliner,Century
Freightliner,Columbia
Freightliner,Conventional
Freightliner,FL
Freightliner,FLC
Freightliner,FLD
Ford,Cargo
Ford,Escort van
Ford,L-series
Ford,LTL
Ford,Tourneo Connect груз.
Ford,Transit груз.
Ford,Transit Connect груз.
Mazda,E-series груз.
Mazda,Titan
IFA (ИФА),B-50
IFA (ИФА),IFA
IFA (ИФА),L
IFA (ИФА),Multicar
IFA (ИФА),W50
IFA (ИФА),W60
LDV,Convoy груз.
LDV,Maxus
Mitsubishi,Canter
Mitsubishi,L 300 груз.
Mitsubishi,L 400 груз.
Peugeot,Bipper груз.
Peugeot,Boxer груз.
Peugeot,Expert груз.
Peugeot,J-5 груз.
Peugeot,J9 груз.
Peugeot,Partner груз.
Sterling,Acterra
MAN-VW,150
MAN-VW,8-150
Hyundai,H 100 груз.
Hyundai,H 200 груз.
Hyundai,H 300 груз.
Hyundai,H1 груз.
Hyundai,HD
Hyundai,HD 120
Hyundai,HD 170
Hyundai,HD 210
Hyundai,HD 270
Hyundai,HD 65
Hyundai,HD 72
Hyundai,HD 78
Hyundai,Porter
Peterbilt,330
Peterbilt,362
МАЗ,35337
МАЗ,354323
МАЗ,4370
МАЗ,437040
МАЗ,437041
МАЗ,437043
МАЗ,4371
МАЗ,437130
МАЗ,457043
МАЗ,500
МАЗ,503
МАЗ,504
МАЗ,5049
МАЗ,509
МАЗ,516
МАЗ,5245
МАЗ,531605
МАЗ,5334
МАЗ,5335
МАЗ,5336
МАЗ,5336
МАЗ,533603 
МАЗ,533603-220
МАЗ,533605
МАЗ,53362
МАЗ,53363
МАЗ,53366
МАЗ,5337
МАЗ,5337
МАЗ,533702
МАЗ,53371
МАЗ,5337А2
МАЗ,538
МАЗ,54229
МАЗ,5423
МАЗ,5429
МАЗ,543
МАЗ,5432
МАЗ,543203
МАЗ,543205
МАЗ,543208
МАЗ,54322
МАЗ,54323
МАЗ,543240
МАЗ,54328
МАЗ,54329
МАЗ,5433
МАЗ,54331
МАЗ,544008
МАЗ,544019
МАЗ,5516
МАЗ,551605
МАЗ,551608
МАЗ,5549
МАЗ,5551
МАЗ,555102
МАЗ,6303
МАЗ,630305
МАЗ,630308
МАЗ,631208
МАЗ,631705
МАЗ,63229
МАЗ,6422
МАЗ,642205
МАЗ,642208
МАЗ,64221
МАЗ,64227
МАЗ,64229
МАЗ,643008
МАЗ,6430А8
МАЗ,6501
МАЗ,6501А8
МАЗ,65151
МАЗ,8378
МАЗ,8561
МАЗ,8926
МАЗ,9380
МАЗ,9386
МАЗ,9397
МАЗ,9758
МАЗ,975830
МАЗ,МАЗ
Barkas (Баркас),B1000
Skoda,706
КАЗ,4540
КАЗ,608
Урал,375
Урал,4320
Урал,4420
Урал,5557
Урал,Урал
Star,266
Star,742
Volkswagen,Caddy груз.
Volkswagen,Crafter груз.
Volkswagen,L 80
Volkswagen,LT груз.
Volkswagen,T4 (Transporter) груз
Volkswagen,T5 (Transporter) груз
ЕРАЗ,762 груз.
Mack,CH
Mack,CX
КрАЗ,250
КрАЗ,255
КрАЗ,256
КрАЗ,257
КрАЗ,258
КрАЗ,260
КрАЗ,5444
КрАЗ,6233
КрАЗ,6322
КрАЗ,64431
КрАЗ,6444
КрАЗ,65032
КрАЗ,65055
КрАЗ,6510
КрАЗ,65101
КрАЗ,КрАЗ
GMC,Vandura груз.
Yuejin,NJ 1028
Yuejin,NJ 1062
ЛиАЗ,100
ЛиАЗ,10042
ЛиАЗ,110
ЛиАЗ,110-057
ЛиАЗ,421
Howo,ZZ
Howo,ZZ3407
Howo,Самосвал
Scania,111
Scania,112M
Scania,113
Scania,113M
Scania,114
Scania,124
Scania,141
Scania,142
Scania,143
Scania,144
Scania,164L
Scania,93
Scania,94
Scania,G
Scania,L
Scania,P
Scania,P 124
Scania,R
Scania,R 114
Scania,R 124
Scania,R 143
Scania,R 144
Scania,R 164
Scania,R 230
Scania,R 340
Scania,R 380
Scania,R 420
Scania,R 470
Scania,R 480
Scania,R 500
Scania,R 580
TATA,1618
TATA,613
TATA,LPT
TATA,T 713
ГАЗ,2704
ГАЗ,2705 Газель
ГАЗ,2707
ГАЗ,2747
ГАЗ,2752 Соболь
ГАЗ,3202 Газель
ГАЗ,3212
ГАЗ,32214
ГАЗ,3302 Газель
ГАЗ,33021
ГАЗ,33022
ГАЗ,33023 Газель
ГАЗ,33029
ГАЗ,3304
ГАЗ,3306
ГАЗ,3307
ГАЗ,3309
ГАЗ,3310 Валдай
ГАЗ,3507
ГАЗ,3508
ГАЗ,3512
ГАЗ,4301
ГАЗ,4509
ГАЗ,51
ГАЗ,52
ГАЗ,5201
ГАЗ,5203
ГАЗ,5227
ГАЗ,5228
ГАЗ,53 груз.
ГАЗ,5301
ГАЗ,5302
ГАЗ,5312
ГАЗ,5319
ГАЗ,5327
ГАЗ,62
ГАЗ,63
ГАЗ,66
ГАЗ,93
ГАЗ,Next
ГАЗ,АА
Kenworth,T2000
Kenworth,Т-600
РАФ,2915
РАФ,2920
РАФ,3311
Dongfeng,1032
Dongfeng,1044
Dongfeng,DF-20
Dongfeng,DF-25
Dongfeng,DF-30
Dongfeng,DF-40
Dongfeng,DF-47
Dongfeng,DFA 1044
Dongfeng,DFA 1051
Dongfeng,DFA 1062
Dongfeng,DFA 1064
Dongfeng,DFL
Dongfeng,EQ1032
